Country,Death,Elevation,Location,Name,Type,VEI,Year
Comoros,1,2361,Indian O-W,Karthala,Shield volcano,2,1904
Italy,1,1281,Italy,Vesuvius,Complex volcano,2,1905
Samoa,,1858,Samoa-SW Pacific,Savai'i,Shield volcano,2,1905
Italy,350,1281,Italy,Vesuvius,Complex volcano,3,1906
Ethiopia,,1501,Africa-NE,Alayta,Shield volcano,2,1907
Indonesia,1,1703,Lesser Sunda Is,Lewotobi,Stratovolcano,2,1907
Samoa,,1858,Samoa-SW Pacific,Savai'i,Shield volcano,,1907
Tonga,,-500,Tonga-SW Pacific,Unnamed,Submarine volcano,0,1907
Cameroon,,4095,Africa-W,Mt. Cameroon,Stratovolcano,2,1909
Indonesia,221,3676,Java,Semeru,Stratovolcano,2,1909
Japan,1,731,Hokkaido-Japan,Usu,Stratovolcano,2,1910
New Zealand,1,760,New Zealand,Taupo,Caldera,,1910
